               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.064572,             0.64289,                   0,                0.42,                0.75,             0.48022,             0.15373,            0.075341,              1.4131,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.061487,              0.4984,                   0,             0.50764,             0.60757,             0.48131,             0.13617,            0.079589,              1.4412,                   0,            0.006535,            0.006535,            0.006535
                 107,             0.06688,             0.69309,                   0,             0.50764,             0.60757,             0.48131,             0.13617,            0.079589,              1.4412,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.05943,              0.5436,                   0,             0.47428,             0.83333,             0.56224,             0.17331,            0.073523,              1.3888,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.061191,             0.59176,                   0,             0.47428,             0.83333,             0.56224,             0.17331,            0.073523,              1.3888,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.059885,             0.56613,                   0,             0.47428,             0.83333,             0.56224,             0.17331,            0.073523,              1.3888,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.063525,             0.57651,                   0,             0.51325,             0.73214,             0.54162,               0.152,            0.076809,              1.4489,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.061457,             0.55307,                   0,             0.51325,             0.73214,             0.54162,               0.152,            0.076809,              1.4489,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.066282,             0.75506,                   0,             0.61252,             0.85119,             0.70672,             0.23998,            0.068501,              1.3927,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.064119,             0.73332,                   0,             0.61252,             0.85119,             0.70672,             0.23998,            0.068501,              1.3927,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.069134,             0.85736,                   0,             0.61252,             0.85119,             0.70672,             0.23998,            0.068501,              1.3927,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.062707,             0.62856,                   0,             0.72351,              0.7944,             0.78527,             0.25753,             0.07027,              1.3242,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.061956,             0.50483,                   0,             0.72351,              0.7944,             0.78527,             0.25753,             0.07027,              1.3242,                   0,            0.006172,            0.006172,            0.006172
                 118,              0.0662,              0.4323,                   0,              0.6659,             0.71183,             0.68578,             0.22806,            0.076574,              1.2216,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.071949,             0.64641,                   0,              0.6659,             0.71183,             0.68578,             0.22806,            0.076574,              1.2216,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.074741,             0.76548,                   0,              0.6659,             0.71183,             0.68578,             0.22806,            0.076574,              1.2216,                   0,            0.006073,            0.006073,            0.006073
