               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.090321,             0.44981,                   0,             0.46409,             0.52429,             0.47335,             0.14177,            0.090214,             0.67271,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.081887,             0.41709,                   0,             0.40391,             0.60542,             0.45426,             0.12076,            0.080146,             0.85592,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.083553,             0.38912,                   0,             0.31154,             0.47966,             0.23363,            0.073159,            0.085266,             0.76062,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.086558,             0.45128,                   0,             0.31154,             0.47966,             0.23363,            0.073159,            0.085266,             0.76062,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.078579,             0.40955,                   0,             0.42444,             0.73888,             0.42309,             0.19177,            0.071258,             0.79958,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.07648,             0.45858,                   0,             0.65891,             0.66884,             0.69004,             0.24233,             0.07193,             0.70175,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.077782,             0.41402,                   0,             0.39889,             0.69439,             0.36491,             0.15828,            0.076837,             0.90646,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.079176,             0.43956,                   0,             0.39889,             0.69439,             0.36491,             0.15828,            0.076837,             0.90646,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.075626,             0.42158,                   0,              0.5872,             0.73739,             0.67643,             0.25276,            0.071539,             0.72028,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.07277,              0.4476,                   0,             0.48903,             0.78723,             0.56155,             0.19815,            0.062663,             0.97552,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.073505,             0.43298,                   0,             0.62175,             0.73114,              0.6832,             0.25564,            0.064121,             0.71998,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.070367,             0.44248,                   0,             0.62175,             0.73114,              0.6832,             0.25564,            0.064121,             0.71998,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.074522,             0.39243,                   0,             0.42889,             0.74662,              0.4499,             0.15038,            0.072946,             0.88948,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.07664,              0.3907,                   0,             0.66987,              0.7418,             0.73001,             0.26801,             0.06484,             0.70654,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.069586,             0.40924,                   0,             0.55655,             0.84913,             0.70287,             0.27356,            0.059105,             0.79498,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.070331,             0.39958,                   0,             0.55655,             0.84913,             0.70287,             0.27356,            0.059105,             0.79498,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.067865,             0.38059,                   0,             0.51565,             0.75242,             0.63258,             0.25312,            0.069744,              0.7032,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.072947,             0.39963,                   0,             0.58455,             0.79741,             0.75303,             0.30908,            0.058712,             0.77056,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.067019,             0.40075,                   0,             0.39125,             0.61509,             0.44784,             0.12559,            0.080033,             0.79008,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.081423,             0.42786,                   0,             0.39125,             0.61509,             0.44784,             0.12559,            0.080033,             0.79008,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.073731,             0.41297,                   0,             0.73503,             0.84777,             0.86225,             0.39573,            0.061204,             0.67062,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.068326,             0.44637,                   0,             0.66865,             0.85871,             0.82608,              0.3638,            0.056822,              0.7676,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.069434,             0.40219,                   0,             0.76064,             0.77563,             0.81022,             0.33323,            0.059535,             0.68282,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.068305,             0.41016,                   0,             0.76064,             0.77563,             0.81022,             0.33323,            0.059535,             0.68282,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.07045,             0.42619,                   0,             0.65535,             0.83559,             0.81451,             0.33276,            0.060127,             0.79144,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.071799,             0.42955,                   0,             0.84659,             0.84913,             0.90135,             0.40913,            0.060201,             0.67607,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.070447,             0.41756,                   0,             0.53171,             0.76402,             0.63084,             0.26768,            0.062824,             0.78668,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.071663,             0.40873,                   0,             0.53171,             0.76402,             0.63084,             0.26768,            0.062824,             0.78668,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.066575,              0.4213,                   0,             0.77315,             0.89653,             0.89564,              0.4226,            0.058236,             0.73164,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.067832,             0.43057,                   0,             0.77393,             0.82111,              0.8604,             0.43227,            0.056678,             0.67818,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.06637,             0.42243,                   0,             0.60759,             0.84333,              0.6816,             0.34462,             0.05546,               0.714,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.066606,               0.406,                   0,             0.60759,             0.84333,              0.6816,             0.34462,             0.05546,               0.714,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.068523,             0.38656,                   0,             0.80489,             0.79794,             0.85835,             0.39443,            0.061412,             0.69345,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.071833,             0.40475,                   0,             0.77629,             0.88201,             0.85258,             0.40969,            0.065003,             0.73529,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.074753,             0.39354,                   0,             0.80471,             0.75048,             0.83426,             0.36683,            0.064783,             0.66749,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.075391,             0.41338,                   0,             0.80471,             0.75048,             0.83426,             0.36683,            0.064783,             0.66749,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.069458,             0.40544,                   0,             0.67897,             0.86727,             0.81535,             0.38522,            0.061308,             0.69634,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.066822,              0.4199,                   0,             0.44479,              0.6446,             0.43621,             0.15829,            0.065847,             0.71314,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.071277,              0.3914,                   0,             0.76193,             0.73045,             0.74597,             0.37367,            0.058709,             0.71806,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.066678,             0.41126,                   0,             0.76193,             0.73045,             0.74597,             0.37367,            0.058709,             0.71806,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.069284,              0.4435,                   0,             0.70562,             0.78723,             0.81878,             0.40693,            0.056295,             0.70798,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.063405,             0.40278,                   0,             0.84645,             0.66151,             0.79383,             0.35048,            0.066072,             0.68983,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.068694,             0.38943,                   0,             0.52264,             0.70944,             0.64561,             0.35019,            0.061623,              0.7074,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.074164,             0.39408,                   0,             0.52264,             0.70944,             0.64561,             0.35019,            0.061623,              0.7074,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.066195,             0.40561,                   0,             0.87776,             0.67505,              0.8301,             0.33861,            0.057664,             0.70492,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.063087,             0.40735,                   0,             0.77555,             0.77369,             0.83502,             0.32881,            0.056539,             0.68399,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.061876,             0.38114,                   0,             0.49474,             0.73114,             0.64002,             0.26473,            0.070762,             0.72732,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.077636,             0.41018,                   0,             0.49474,             0.73114,             0.64002,             0.26473,            0.070762,             0.72732,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.070697,             0.36711,                   0,             0.82658,             0.66379,             0.79958,             0.41513,            0.061556,              0.6957,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.065229,             0.37109,                   0,             0.74443,              0.5764,             0.73264,             0.37405,            0.071261,             0.67428,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.074295,              0.3746,                   0,             0.84956,             0.75367,             0.84985,              0.4181,            0.063317,             0.68406,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.068126,              0.3959,                   0,             0.84956,             0.75367,             0.84985,              0.4181,            0.063317,             0.68406,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.069468,             0.38552,                   0,              0.9095,             0.83587,              0.9154,             0.45759,            0.057071,             0.67022,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.066441,             0.38922,                   0,             0.81997,             0.69826,             0.79165,             0.31454,            0.060781,             0.71693,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.063385,             0.41002,                   0,             0.56979,             0.76209,             0.66584,             0.33857,            0.059024,             0.66565,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.06822,             0.37615,                   0,             0.56979,             0.76209,             0.66584,             0.33857,            0.059024,             0.66565,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.066604,              0.4122,                   0,             0.80035,             0.64359,             0.76105,             0.31054,            0.065727,               0.695,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.064176,             0.38255,                   0,             0.57685,             0.78917,             0.64452,             0.32141,            0.057141,             0.68273,                   0,            0.006535,            0.006535,            0.006535
                 107,              0.0677,             0.38169,                   0,              0.8689,             0.81818,             0.87274,             0.37434,             0.05799,             0.68752,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.062292,             0.37449,                   0,              0.8689,             0.81818,             0.87274,             0.37434,             0.05799,             0.68752,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.065464,             0.40538,                   0,             0.74684,             0.85594,             0.83333,             0.44376,            0.053635,             0.66932,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.063998,              0.4251,                   0,             0.87203,             0.89625,             0.89959,             0.45627,            0.052167,             0.69267,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.061334,             0.38412,                   0,             0.76471,             0.75242,             0.80686,             0.34254,            0.063814,             0.68666,                   0,             0.00637,             0.00637,             0.00637
